jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|value:n,  modelParams|tmParams|activationThreshold,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|Date_weekend:radius,  modelParams|sensorParams|encoders|Date_timeOfDay:radius,  modelParams|sensorParams|encoders|Date_dayOfWeek:radius,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1, 2]:window=1000:field=value,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1, 2]:window=1000:field=value, 
1001,  1239,  completed,  eof,  2021-12-21 13:16:50,  2021-12-21 13:17:07,  17,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_214.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0356146637342.modelParams|spParams|synPermInactiveDec_0.0574736394299,  1094,  10,  214,  13,  2,  0.0356146637342,  None,  None,  None,  0.0574736394299,  422.898382745,  6.35594500521, 
1001,  1240,  completed,  eof,  2021-12-21 13:16:53,  2021-12-21 13:17:14,  21,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_275.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0471431044.modelParams|spParams|synPermInactiveDec_0.0447784307405,  1099,  10,  275,  15,  2,  0.0471431044,  None,  None,  None,  0.0447784307405,  424.389625122,  6.3483659898, 
1001,  1241,  completed,  eof,  2021-12-21 13:17:00,  2021-12-21 13:17:20,  20,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_248.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0388669745129.modelParams|spParams|synPermInactiveDec_0.0479952790627,  1103,  10,  248,  14,  2,  0.0388669745129,  None,  None,  None,  0.0479952790627,  397.953022252,  5.93129058967, 
1001,  1242,  completed,  eof,  2021-12-21 13:17:05,  2021-12-21 13:17:26,  21,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_268.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0403362312817.modelParams|spParams|synPermInactiveDec_0.0444889853165,  1109,  11,  268,  14,  2,  0.0403362312817,  None,  None,  None,  0.0444889853165,  398.686865959,  5.91040646333, 
1001,  1243,  completed,  eof,  2021-12-21 13:17:07,  2021-12-21 13:17:26,  19,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_252.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0398290117889.modelParams|spParams|synPermInactiveDec_0.0477473433636,  1111,  10,  252,  14,  1,  0.0398290117889,  None,  None,  None,  0.0477473433636,  399.918719803,  5.91769234967, 
1001,  1244,  completed,  eof,  2021-12-21 13:17:14,  2021-12-21 13:17:31,  17,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_245.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0379589200996.modelParams|spParams|synPermInactiveDec_0.0478994404774,  1115,  10,  245,  15,  1,  0.0379589200996,  None,  None,  None,  0.0478994404774,  402.937437494,  5.94013936918, 
1001,  1245,  completed,  eof,  2021-12-21 13:17:20,  2021-12-21 13:17:39,  19,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_267.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0477097999932.modelParams|spParams|synPermInactiveDec_0.0476734082372,  1121,  11,  267,  14,  2,  0.0477097999932,  None,  None,  None,  0.0476734082372,  423.835282871,  6.21406577099, 
1001,  1246,  completed,  eof,  2021-12-21 13:17:27,  2021-12-21 13:17:47,  20,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_265.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0396850853339.modelParams|spParams|synPermInactiveDec_0.044437704053,  1127,  11,  265,  14,  2,  0.0396850853339,  None,  None,  None,  0.044437704053,  404.566616977,  5.89997524172, 
1001,  1247,  completed,  eof,  2021-12-21 13:17:27,  2021-12-21 13:17:47,  20,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_273.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0407905007144.modelParams|spParams|synPermInactiveDec_0.0436504710018,  1128,  11,  273,  14,  2,  0.0407905007144,  None,  None,  None,  0.0436504710018,  409.896557767,  5.97198723217, 
1001,  1248,  completed,  eof,  2021-12-21 13:17:31,  2021-12-21 13:17:52,  21,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_271.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0403198624755.modelParams|spParams|synPermInactiveDec_0.0430215164526,  1132,  11,  271,  14,  2,  0.0403198624755,  None,  None,  None,  0.0430215164526,  419.939589562,  6.09382302569, 
